id,Name,Univ,Year,Country,Title,Advisor,Students
76175,Zhanuzak Almagambetovich Almagambetov,Novosibirsk State University,1965,Russia,On Algorithmic Problems of the Model Theory,['76166'],[]
77171,Erzhan R. Baisalov,Omsk State University,1991,Russia,Countable Models of Superstable Theories,['76166'],['139402']
76173,Bektur Sembiuly Baizhanov,Novosibirsk State University,1981,Russia,Spectral Problems of Totally Transcendent Theories of Finite Rank,['76166'],"['78373', '78373', '78372', '260801']"
76180,M. I. Bekenov,Novosibirsk State University,1984,Russia,Properties of Superstable Theories,['76166'],[]
76182,Boris Nikolaevich Drobotun,Novosibirsk State University,1977,Russia,On Numerations of Special Models,['76166'],[]
76181,Mirzakhan M. Erimbetov,Novosibirsk State University,1975,Russia,On Some Questions on Countable Complete Theories Related to the Notion of a Rank,['76166'],[]
76176,Nazif Garifullinovich Khisamiev,Novosibirsk State University,1968,Russia,Problems of the Elementary Theory of Lattice-Ordered Algebraic Systems,"['76166', '125433']","['77163', '125249', '77164']"
76177,Tolende G. Mustafin,Novosibirsk State University,1971,Russia,Some Questions on Axiomatizable Classes of Models,['76166'],"['78386', '78387']"
76174,Tursunbek A. Nurmagambetov,Novosibirsk State University,1984,Russia,Almost Omega-Stable Theories,['76166'],[]
76184,Abyz Temirgalievich Nurtazin,Novosibirsk State University,1974,Russia,Computable Classes and Algebraic Criteria of Autostability,['76166'],[]
76178,Amangeldy I. Omarov,Novosibirsk State University,1967,Russia,On Some Applications of Filtered Products in Model Theory,['76166'],"['139402', '78388']"
76179,B. I. Omarov,Novosibirsk State University,1983,Russia,Extensions by Constants and the Rank Functions of Complete Theories,['76166'],[]
76183,T. Sh. Shayakhmetov,Novosibirsk State University,1970,Russia,On the Non-Solvability fo the Elementary Theory of Some Algebraic Systems,['76166'],[]
77172,Alexander Alexandrovich Vikent'ev,Novosibirsk State University,1992,Russia,Theories with Covers and Definable Subsets,"['76166', '61238']",[]
127576,Janis  Barzdins,,,None,,['132047'],['56497']
192699,Michael  Dekhtyar,Lomonosov Moscow State University,1977,Russia,On the Complexity of Relative Computations,['132047'],[]
270383,Irina A. Lomazova,Russian Academy of Sciences,1981,Russia,Semantics and Algorithmic Logic for Programs with goto,['132047'],[]
237226,Alexander Moshe Rabinovich,Tel Aviv University,1989,Israel,Nets and Processes,['132047'],['237227']
153895,Dmitry  Efrosinin,"Peoples' Friendship University, Moscow and Universität Trier",2004,Russia,Controlled Queueing Systems with Heterogeneous Servers,['120975'],[]
37688,Wolfgang  Engel,Martin-Luther-Universität Halle-Wittenberg,1953,Germany,Primteiler Höherer Art im Rationalen Funktionenkörper von n Veränderlichen und ihr Verhalten bei Cremona-Transformationen,"['15217', '18351']","['80658', '80648', '80660', '43078', '43872', '80649', '80657', '80651', '43869', '43870', '80661', '37624', '80650', '52859', '80659', '43871', '80656', '80652', '80663', '80662', '80653']"
245823,Stanislav  Aleshin,Lomonosov Moscow State University,1973,Russia,,['52859'],[]
59086,Oleg A. Shcherbina,Russian Academy of Sciences,1979,Russia,On Local Algorithms for Solution,['52859'],[]
181071,Sergey Vladimirovich Gribok,Lomonosov Moscow State University,2003,Russia,On realization of Boolean functions in some classes of binary decision programs,['180636'],[]
187628,Mikhail Sergeevich Shupletsov,Lomonosov Moscow State University,2011,Russia,Synthesis Methods and Complexity Bounds for Networks of Relations,['180636'],[]
88992,Mikhail H. Klin,Kiev State University,1975,Ukraine,Investigation of Relational Algebras Invariant Under the Action of Certain Classes of Permutation Groups,"['98474', '113476']","['89011', '185618', '194562', '194072', '190662']"
185617,Alonso  Castillo-Ramirez,Imperial College London,2014,UnitedKingdom,On Majorana Algebras and Representations,['185618'],[]
196215,Sophie  Decelle,Imperial College London,2014,UnitedKingdom,"Majorana Representations and the Coxeter Groups G^(m,n,p)",['185618'],[]
224238,Chien Sheng  Lim,Imperial College London,2017,UnitedKingdom,From the Monster to Majorana: A study of the 3A-axes,['185618'],[]
239430,Madeleine  Whybrow,Imperial College London,2018,UnitedKingdom,Majorana algebras and subgroups of the Monster,['185618'],[]
170967,Rustem  Takhanov,Moscow Institute of Physics and Technology,2008,Russia,Predicate description of supplementary constraints in pattern recognition problems,['170436'],[]
170966,Konstantin Vyacheslavovich Vorontsov,Moscow Institute of Physics and Technology,1999,Russia,The local bases in algebraical approach to recognition problem,['170436'],"['197991', '246496']"
79753,Sergei  Bezrukov,Lomonosov Moscow State University,1984,Russia,Isoperimetric Type Problems on the Unit Cube,['79755'],[]
139382,Alexander  Dainiak,Lomonosov Moscow State University,2009,Russia,Bounds for the Number of Independent Sets in some Classes of Graphs,['79755'],[]
130204,Eduard  Toman,Lomonosov Moscow State University,1977,Russia,Geometric structure of random boolean functions,['79755'],['117390']
230315,Martina  Daňková,Ostravská univerzita v Ostravě,2005,CzechRepublic,Approximating Formulas in the Frame of Basic Logic,['155133'],[]
230093,Petr  Hurtik,Ostravská univerzita v Ostravě,2017,CzechRepublic,Image processing using soft-computing methods,['155133'],[]
230314,Martin  Štěpnička,Ostravská univerzita v Ostravě,2008,CzechRepublic,Fuzzy Transform and its Applications to Problems in Engineering Practice,['155133'],[]
230316,Petra (Petra Hoďáková) Števuliáková,Ostravská univerzita v Ostravě,2014,CzechRepublic,Fuzzy (F-)Transform of Functions of Two Variables and its Applications in Image Processing,['155133'],[]
230328,Pavel  Vlašánek,Ostravská univerzita v Ostravě,2014,CzechRepublic,"Inpainting method based on the
 F-transform",['155133'],[]
196563,Vladimir Konstantinovich Zlobin,,,None,,[],['196562']
99292,Boris V. Kostrov,,,None,,[],"['99300', '196562']"
